t,Q05_S_p,Q25_S_p,Q50_S_p,Mean_S_p,Q75_S_p,Q95_S_p,Q05_I_p,Q25_I_p,Q50_I_p,Mean_I_p,Q75_I_p,Q95_I_p,Q05_I_v,Q25_I_v,Q50_I_v,Mean_I_v,Q75_I_v,Q95_I_v,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
30.0,0.008324212774955646,0.01547248260346666,0.02580029002975419,0.03786476748694735,0.04603290588640534,0.11022636420575917,0.4241523934030711,0.5660942206379578,0.6429383533206169,0.6299901194308261,0.7082559004453644,0.789442852131457,8.124088935507622,8.263079249658217,8.370986439556466,8.382796645066637,8.492661661352994,8.67695076429826,0.5306977791127191,0.6670542877710912,0.7392519191766952,0.721421366881586,0.7930039866347388,0.8510208385330827
31.0,0.007829423324465994,0.014621569565694822,0.02411638153552439,0.035914528243464076,0.04285661816053421,0.10514262051387356,0.4419404666523842,0.5836471835146324,0.6583403054275904,0.6443245831106157,0.7208031986027706,0.7968738714600456,8.294733220877463,8.442038292811246,8.553746114820974,8.563308874508904,8.677786960596508,8.861430017632866,0.5426279977278436,0.683819046972926,0.7597258821056697,0.7417903896505489,0.8168419267795846,0.8801270309393886
32.0,0.007505788465030538,0.014071899365817701,0.02298788946409023,0.03443915449106369,0.04068733764422002,0.10197357911259881,0.4635621116202506,0.6004918920029886,0.671627281345146,0.657577873026723,0.7312686788001173,0.8045848386174628,8.46262820195797,8.61667705054975,8.732384287027275,8.740343120583011,8.858272467976661,9.041938250008183,0.5550616209151051,0.6999973989364187,0.779006581765094,0.7614034611284844,0.8395443356217778,0.9081921580486036
33.0,0.0074406956534167745,0.013497218047224481,0.021958712200281998,0.03296802141646788,0.03841841027276013,0.09810890012252607,0.47610793269183643,0.6156206433008969,0.6846008612305976,0.6702391713662368,0.7411676181510146,0.8112393598809821,8.62997657412057,8.78883983378876,8.907212734925123,8.913914617086967,9.034397987975641,9.218635433960216,0.5678372853201499,0.7156603352803113,0.7973696088191986,0.7802857039565022,0.8613424527631088,0.9350505166806186
34.0,0.007217028748852128,0.01320396382159853,0.021633927052117453,0.03209821794278624,0.037654485762421086,0.09393676990879582,0.49606794275626626,0.6294367577954268,0.6968127036614711,0.6817207854314643,0.7513255182162896,0.81599707017756,8.794041526175842,8.957781196408062,9.079460478119111,9.08402684882299,9.206628030968293,9.390622983298398,0.5793483140543951,0.730681384448513,0.8153191302632281,0.7983181622970041,0.8821575624645218,0.9620155621886498
35.0,0.007041644256800022,0.012926377955966803,0.02116295790826499,0.03128657089822414,0.037311613157635086,0.09098257568158123,0.5129880883683376,0.6434312714440277,0.7073292548849265,0.6924966929666032,0.7593911632583944,0.8208182584320626,8.954206104477656,9.123777300745077,9.24795252671264,9.250659705704072,9.3747802544018,9.5588573347829,0.5899060604621151,0.744668231178258,0.8325391413367621,0.8152657986565541,0.9020429867393708,0.9873416384865004
36.0,0.006952491422588706,0.012399577209790756,0.020262663050565278,0.03002545416949897,0.03585550675261336,0.08471962565993943,0.5255898283695993,0.656031125124188,0.7182504752886394,0.7031863456078484,0.7672845514550607,0.8267572709041984,9.11132465320911,9.286144247950755,9.412433594365348,9.413857845363637,9.539541524189142,9.723306115501968,0.5998297572283968,0.7587805064529747,0.8485536343301642,0.830933871671778,0.9214928442031579,1.0
37.0,0.006626023533908097,0.012049027984178872,0.019559270368912095,0.029451422947433893,0.034623531929145086,0.0862435175193006,0.5395479056218438,0.6687488493376319,0.7280143030346128,0.7126197524061433,0.7754928494699561,0.8320052028971163,9.266790131645648,9.446533986073957,9.573318116574534,9.573611901840751,9.700609822122768,9.882464826003908,0.6108961047415027,0.7725430865491036,0.8648439949091132,0.8452812201815437,0.9402727018405571,1.0
38.0,0.006530322095129468,0.011884709278321923,0.019152098947979233,0.028523703570221614,0.03349859118824234,0.08199824453897345,0.5539537456603019,0.6797036195426807,0.7375091533668758,0.7218670835349418,0.782157686626237,0.8364880514940635,9.418403497079778,9.603610096667166,9.731452158110894,9.729941553281147,9.858269764729407,10.038378030097919,0.6221742622723998,0.786035974257759,0.8802136999613899,0.8583305931807305,0.9588526513811154,1.0
39.0,0.006438054320368039,0.011484228599451416,0.018795194043920316,0.027981388663038516,0.032444670149230366,0.0807462633703814,0.5647458211339543,0.6893161375422159,0.7462056863901503,0.7303133163381844,0.7894040893695425,0.8412486876770437,9.567332941961997,9.757309105460411,9.885094395290464,9.88290571718834,10.012586567315182,10.191083918370124,0.6322693644165349,0.7985696766491134,0.8948599495152628,0.8701083641451026,0.9765463845137186,1.0
