"t","L","S","E","I_S","I_A","H","R","D","V","J","u_L","u_V"
"25.55","0.145965","0.3612","0.0589787","0.00499587","0.0632436","0.00193682","0.239643","0.000719876","0.123318","0.00639248","0.000204144","0.0113656"
"25.7325","0.144448","0.360383","0.0587734","0.00498464","0.0631623","0.00193377","0.241593","0.000726004","0.123996","0.00644358","0.000198981","0.0113216"
"25.915","0.142948","0.359567","0.0585653","0.00497312","0.0630771","0.0019306","0.243538","0.000732122","0.124669","0.00649455","0.000193926","0.0112775"
"26.0975","0.141464","0.358753","0.0583544","0.00496131","0.062988","0.00192732","0.245478","0.00073823","0.125336","0.00654541","0.000188977","0.0112334"
"26.28","0.139997","0.357939","0.0581407","0.00494922","0.0628949","0.00192392","0.247413","0.000744327","0.125998","0.00659613","0.000184133","0.0111892"
"26.4625","0.138545","0.357127","0.0579244","0.00493685","0.0627981","0.0019204","0.249342","0.000750413","0.126656","0.00664673","0.000179392","0.011145"
"26.645","0.13711","0.356317","0.0577055","0.0049242","0.0626974","0.00191677","0.251266","0.000756487","0.127308","0.0066972","0.000174752","0.0111008"
"26.8275","0.13569","0.355508","0.057484","0.00491129","0.0625929","0.00191302","0.253184","0.000762549","0.127954","0.00674753","0.000170212","0.0110565"
"27.01","0.134286","0.354702","0.05726","0.0048981","0.0624846","0.00190917","0.255096","0.000768599","0.128596","0.00679772","0.000165769","0.0110122"
"27.1925","0.132897","0.353897","0.0570336","0.00488465","0.0623727","0.0019052","0.257002","0.000774637","0.129233","0.00684778","0.000161423","0.0109679"
"27.375","0.131523","0.353095","0.0568048","0.00487093","0.062257","0.00190112","0.258903","0.000780661","0.129865","0.0068977","0.000157171","0.0109236"
"27.5575","0.130165","0.352295","0.0565737","0.00485696","0.0621378","0.00189693","0.260797","0.000786672","0.130491","0.00694747","0.000153012","0.0108794"
"27.74","0.128821","0.351498","0.0563403","0.00484273","0.0620149","0.00189263","0.262685","0.00079267","0.131113","0.00699709","0.000148944","0.0108351"
"27.9225","0.127493","0.350703","0.0561048","0.00482826","0.0618885","0.00188822","0.264566","0.000798653","0.13173","0.00704657","0.000144967","0.0107908"
"28.105","0.126178","0.349911","0.0558671","0.00481353","0.0617585","0.00188371","0.266441","0.000804622","0.132342","0.0070959","0.000141078","0.0107466"
"28.2875","0.124879","0.349122","0.0556273","0.00479857","0.0616251","0.0018791","0.26831","0.000810577","0.132949","0.00714507","0.000137275","0.0107024"
"28.47","0.123593","0.348337","0.0553855","0.00478336","0.0614882","0.00187438","0.270172","0.000816516","0.133551","0.00719409","0.000133558","0.0106582"
"28.6525","0.122322","0.347554","0.0551418","0.00476792","0.061348","0.00186955","0.272026","0.00082244","0.134148","0.00724295","0.000129925","0.010614"
"28.835","0.121065","0.346775","0.0548961","0.00475225","0.0612043","0.00186463","0.273874","0.000828349","0.13474","0.00729166","0.000126374","0.0105699"
"29.0175","0.119822","0.345999","0.0546486","0.00473636","0.0610574","0.0018596","0.275715","0.000834241","0.135328","0.0073402","0.000122904","0.0105259"
"29.2","0.118593","0.345226","0.0543993","0.00472024","0.0609072","0.00185448","0.277549","0.000840117","0.135911","0.00738858","0.000119513","0.0104819"
"29.3825","0.117377","0.344458","0.0541483","0.0047039","0.0607538","0.00184926","0.279376","0.000845977","0.136489","0.00743679","0.000116201","0.0104379"
"29.565","0.116174","0.343693","0.0538956","0.00468735","0.0605972","0.00184394","0.281195","0.00085182","0.137063","0.00748483","0.000112965","0.0103941"
"29.7475","0.114985","0.342932","0.0536413","0.00467059","0.0604374","0.00183853","0.283006","0.000857645","0.137631","0.00753271","0.000109805","0.0103503"
"29.93","0.113809","0.342175","0.0533855","0.00465362","0.0602746","0.00183303","0.28481","0.000863453","0.138196","0.00758041","0.000106718","0.0103065"
"30.1125","0.112647","0.341422","0.0531281","0.00463646","0.0601087","0.00182743","0.286607","0.000869243","0.138755","0.00762794","0.000103704","0.0102629"
"30.295","0.111497","0.340673","0.0528693","0.00461909","0.0599399","0.00182174","0.288395","0.000875016","0.13931","0.0076753","0.000100762","0.0102193"
"30.4775","0.110359","0.339928","0.0526091","0.00460153","0.059768","0.00181597","0.290176","0.000880769","0.139861","0.00772248","9.79E-05","0.0101758"
"30.66","0.109235","0.339188","0.0523476","0.00458379","0.0595933","0.00181011","0.291949","0.000886505","0.140407","0.00776948","9.51E-05","0.0101324"
"30.8425","0.108123","0.338452","0.0520849","0.00456586","0.0594157","0.00180416","0.293714","0.000892221","0.140949","0.0078163","9.23E-05","0.0100891"
"31.025","0.107023","0.337721","0.0518209","0.00454775","0.0592354","0.00179812","0.295471","0.000897918","0.141486","0.00786294","8.97E-05","0.0100459"
"31.2075","0.105936","0.336994","0.0515557","0.00452946","0.0590522","0.00179201","0.297219","0.000903596","0.142019","0.00790939","8.71E-05","0.0100028"
"31.39","0.10486","0.336272","0.0512894","0.004511","0.0588663","0.00178581","0.298959","0.000909254","0.142547","0.00795566","8.45E-05","0.00995979"
"31.5725","0.103797","0.335555","0.0510221","0.00449238","0.0586778","0.00177953","0.300691","0.000914892","0.143071","0.00800174","8.21E-05","0.0099169"
"31.755","0.102745","0.334842","0.0507538","0.00447359","0.0584867","0.00177318","0.302414","0.00092051","0.143591","0.00804763","7.96E-05","0.00987413"
"31.9375","0.101705","0.334135","0.0504845","0.00445465","0.058293","0.00176674","0.304129","0.000926108","0.144107","0.00809334","7.73E-05","0.00983147"
